commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,All,445847,10205,12213,1380,1523,587,3471,-3785,9106,-6285,-4467,-1582,3378,81139,75778,73703,7004,17497,89260,156140,87335,30628,33433,31736,82,80,21.0,8.0,16.0,48.0,82.0,66.0,54.0,42.0,49.0,12.1,14.6,21.1,23.4,11.6,11.0,18.1,18.2
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Old,422717,10205,12213,1380,1523,587,3471,-3785,9106,-6285,-4467,-1582,3378,77666,67664,69396,7474,16553,83289,151928,83208,31810,33211,27850,81,77,22.0,7.0,15.0,47.0,83.0,64.0,55.0,42.0,49.0,12.6,15.4,21.6,24.3,11.9,11.6,18.4,19.2
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Other,23130,10205,12213,1380,1523,587,3471,-3785,9106,-6285,-4467,-1582,3378,3473,8114,5218,441,33,9978,8219,120,199,1603,2505,18,47,11.0,4.0,,7.0,15.0,,,16.0,9.0,46.8,35.3,63.7,53.6,46.6,35.3,60.9,50.6
WHEAT-HRW,CHICAGO BOARD OF TRADE,"July 29, 2025",,All,63487,2616,4815,-1056,444,-268,-173,-740,5693,-1528,-394,787,-600,37408,22322,3294,914,369,6510,24231,3742,2250,2780,992,53,36,6.0,,,8.0,23.0,12.0,4.0,7.0,4.0,17.7,26.8,28.5,40.1,17.5,26.7,28.0,38.5
WHEAT-HRW,CHICAGO BOARD OF TRADE,"July 29, 2025",,Old,63117,2616,4815,-1056,444,-268,-173,-740,5693,-1528,-394,787,-600,37245,22129,3294,914,369,6510,24231,3742,2243,2834,869,53,36,6.0,,,8.0,23.0,12.0,4.0,8.0,4.0,17.8,26.9,28.7,40.3,17.6,26.9,28.1,38.7
WHEAT-HRW,CHICAGO BOARD OF TRADE,"July 29, 2025",,Other,370,2616,4815,-1056,444,-268,-173,-740,5693,-1528,-394,787,-600,163,193,0,0,0,0,0,0,61,0,69,4,10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,76.2,63.2,79.2,70.0,57.8,46.8,60.3,51.6
CORN,CHICAGO BOARD OF TRADE,"July 29, 2025",,All,1575283,81613,22626,26976,1064,-1660,3008,5009,5190,17252,1728,1131,26839,408528,461894,235045,17782,35632,201664,352608,238067,94380,76903,216866,290,278,27.0,5.0,20.0,59.0,86.0,89.0,64.0,80.0,96.0,10.1,10.8,16.9,17.1,7.0,7.1,12.4,11.7
CORN,CHICAGO BOARD OF TRADE,"July 29, 2025",,Old,561408,81613,22626,26976,1064,-1660,3008,5009,5190,17252,1728,1131,26839,143030,142176,72596,20342,611,191374,162096,22386,75762,178010,104,202,167,22.0,8.0,,45.0,60.0,21.0,66.0,61.0,,15.1,19.0,25.5,27.4,14.8,18.9,24.9,27.3
CORN,CHICAGO BOARD OF TRADE,"July 29, 2025",,Other,1013875,81613,22626,26976,1064,-1660,3008,5009,5190,17252,1728,1131,26839,265498,319718,179589,14580,17881,145806,326028,80165,191489,71764,43891,226,265,24.0,6.0,13.0,60.0,67.0,55.0,71.0,75.0,62.0,13.0,13.4,20.4,22.3,12.8,13.1,20.1,21.7
ROUGH RICE,CHICAGO BOARD OF TRADE,"July 29, 2025",,All,12167,407,358,-147,10,-4,0,39,575,-257,-135,-133,234,5486,1528,164,155,0,332,6475,35,2752,1200,767,19,11,,,0.0,,21.0,,20.0,8.0,6.0,25.3,24.8,40.6,38.2,25.3,24.8,40.2,38.1
